"RLABO","SHIPC","CRUIS","STNNO","LATIT","LONGI","POSYS","STATN","SDATE","STIME","WADEP","SMPNO","FINFL","SMVOL","MNDEP","MXDEP","SPECI","TRPHY","STAGE","PARAM","MUNIT","ALABO","METOA","METFP","SLABO","SMTYP","PURPM","MYEAR","DTYPE","RLIST","SIZCL","SIZRF","SFLAG","VALUE","MPROG"
"BAMN","AA31","2009","Comprian20090701NA",44.6782,-1.10207,,"Comprian","20090701",,,"Comprian_20090701",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,103,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090701NA",44.6782,-1.10207,,"Comprian","20090701",,,"Comprian_20090701",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,2024,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090716NA",44.6782,-1.10207,,"Comprian","20090716",,,"Comprian_20090716",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,55.482166,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090716NA",44.6782,-1.10207,,"Comprian","20090716",,,"Comprian_20090716",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,4599.735799,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090729NA",44.6782,-1.10207,,"Comprian","20090729",,,"Comprian_20090729",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,232.496698,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090729NA",44.6782,-1.10207,,"Comprian","20090729",,,"Comprian_20090729",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,5017.173052,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090814NA",44.6782,-1.10207,,"Comprian","20090814",,,"Comprian_20090814",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,88.716385,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090814NA",44.6782,-1.10207,,"Comprian","20090814",,,"Comprian_20090814",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,9151.64957,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090828NA",44.6782,-1.10207,,"Comprian","20090828",,,"Comprian_20090828",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,63.40819,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090828NA",44.6782,-1.10207,,"Comprian","20090828",,,"Comprian_20090828",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,10919.41876,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090914NA",44.6782,-1.10207,,"Comprian","20090914",,,"Comprian_20090914",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,58.124174,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090914NA",44.6782,-1.10207,,"Comprian","20090914",,,"Comprian_20090914",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,4715.984148,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090928NA",44.6782,-1.10207,,"Comprian","20090928",,,"Comprian_20090928",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,26.109661,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090928NA",44.6782,-1.10207,,"Comprian","20090928",,,"Comprian_20090928",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,4887.72846,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20091013NA",44.6782,-1.10207,,"Comprian","20091013",,,"Comprian_20091013",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,46.997389,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20091013NA",44.6782,-1.10207,,"Comprian","20091013",,,"Comprian_20091013",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,5804.177546,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20091013NA",44.6782,-1.10207,,"Comprian","20091013",,,"Comprian_20091013",,,1,1,345515,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,6506.527415,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20091029NA",44.6782,-1.10207,,"Comprian","20091029",,,"Comprian_20091029",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,120.218579,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20091029NA",44.6782,-1.10207,,"Comprian","20091029",,,"Comprian_20091029",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,13784,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20091029NA",44.6782,-1.10207,,"Comprian","20091029",,,"Comprian_20091029",,,1,1,345515,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,4426.229508,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20091112NA",44.6782,-1.10207,,"Comprian","20091112",,,"Comprian_20091112",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,103.038309,"CEMP~NATL"
